date,STATION,faw_obs,faw_model,residual
2017-10-20,Tribune,0.796,0.726,0.071
2017-10-20,Viola,0.599,0.692,-0.093
2017-10-21,Ashland Bottoms,0.803,0.742,0.061
2017-10-21,Colby,0.916,0.830,0.086
2017-10-21,Garden City,0.696,0.762,-0.065
2017-10-21,Gypsum,0.583,0.785,-0.201
2017-10-21,Hays,0.449,0.570,-0.120
2017-10-21,Lake City,0.299,0.337,-0.038
2017-10-21,Lakin,0.800,0.806,-0.005
2017-10-21,Lane,0.699,0.632,0.067
2017-10-21,Lorraine,0.855,0.761,0.094
2017-10-21,Manhattan,0.724,0.603,0.121
2017-10-21,McPherson 1S,0.631,0.524,0.107
2017-10-21,Ottawa 2SE,0.717,0.620,0.097
2017-10-21,Overbrook,0.491,0.563,-0.072
2017-10-21,Parsons,0.747,0.835,-0.088
2017-10-21,Richfield,0.786,0.741,0.045
2017-10-21,Satanta,0.692,0.594,0.098
2017-10-21,Tribune,0.789,0.724,0.065
2017-10-21,Viola,0.597,0.675,-0.078
2017-10-22,Ashland Bottoms,0.788,0.738,0.051
2017-10-22,Colby,0.900,0.829,0.071
2017-10-22,Garden City,0.677,0.756,-0.078
2017-10-22,Gypsum,0.565,0.773,-0.208
2017-10-22,Hays,0.430,0.555,-0.125
2017-10-22,Lake City,0.291,0.328,-0.037
2017-10-22,Lakin,0.790,0.801,-0.011
2017-10-22,Lane,0.679,0.627,0.052
2017-10-22,Lorraine,0.824,0.750,0.075
2017-10-22,Manhattan,0.718,0.601,0.116
2017-10-22,McPherson 1S,0.613,0.514,0.099
2017-10-22,Ottawa 2SE,0.944,0.986,-0.042
2017-10-22,Overbrook,0.945,0.986,-0.042
2017-10-22,Parsons,0.940,0.986,-0.046
2017-10-22,Richfield,0.774,0.739,0.035
2017-10-22,Satanta,0.677,0.592,0.085
2017-10-22,Tribune,0.772,0.722,0.049
2017-10-22,Viola,0.642,0.708,-0.065
2017-10-23,Ashland Bottoms,0.774,0.733,0.040
2017-10-23,Colby,0.890,0.827,0.062
2017-10-23,Garden City,0.672,0.750,-0.077
2017-10-23,Gypsum,0.549,0.761,-0.213
2017-10-23,Hays,0.414,0.540,-0.126
2017-10-23,Lake City,0.273,0.319,-0.046
2017-10-23,Lakin,0.785,0.795,-0.010
2017-10-23,Lane,0.673,0.622,0.051
2017-10-23,Lorraine,0.804,0.738,0.066
2017-10-23,Manhattan,0.711,0.599,0.112
2017-10-23,McPherson 1S,0.597,0.505,0.092
2017-10-23,Ottawa 2SE,0.934,0.972,-0.038
2017-10-23,Overbrook,0.824,0.974,-0.150
2017-10-23,Parsons,0.940,0.965,-0.025
2017-10-23,Richfield,0.765,0.736,0.029
2017-10-23,Satanta,0.674,0.590,0.084
2017-10-23,Tribune,0.763,0.720,0.043
2017-10-23,Viola,0.632,0.693,-0.060
2017-10-24,Ashland Bottoms,0.759,0.727,0.032
2017-10-24,Colby,0.878,0.825,0.053
2017-10-24,Garden City,0.664,0.743,-0.079
2017-10-24,Gypsum,0.530,0.749,-0.219
2017-10-24,Hays,0.398,0.525,-0.127
2017-10-24,Lake City,0.259,0.310,-0.051
2017-10-24,Lakin,0.780,0.789,-0.009
2017-10-24,Lane,0.664,0.617,0.047
2017-10-24,Lorraine,0.779,0.726,0.053
2017-10-24,Manhattan,0.702,0.596,0.106
2017-10-24,McPherson 1S,0.583,0.496,0.087
2017-10-24,Ottawa 2SE,0.884,0.954,-0.070
2017-10-24,Overbrook,0.771,0.957,-0.186
2017-10-24,Parsons,0.916,0.944,-0.029
2017-10-24,Richfield,0.762,0.732,0.030
2017-10-24,Satanta,0.669,0.587,0.081
2017-10-24,Tribune,0.753,0.717,0.036
2017-10-24,Viola,0.619,0.678,-0.059
2017-10-25,Ashland Bottoms,0.742,0.719,0.023
2017-10-25,Colby,0.869,0.821,0.048
2017-10-25,Garden City,0.655,0.735,-0.080
2017-10-25,Gypsum,0.514,0.736,-0.221
2017-10-25,Hays,0.383,0.510,-0.127
2017-10-25,Lake City,0.243,0.300,-0.057
2017-10-25,Lakin,0.776,0.782,-0.006
2017-10-25,Lane,0.656,0.610,0.046
2017-10-25,Lorraine,0.759,0.713,0.046
2017-10-25,Manhattan,0.693,0.590,0.103
2017-10-25,McPherson 1S,0.569,0.485,0.084
2017-10-25,Ottawa 2SE,0.867,0.929,-0.062
2017-10-25,Overbrook,0.750,0.934,-0.185
2017-10-25,Parsons,0.867,0.923,-0.057
2017-10-25,Richfield,0.753,0.728,0.025
2017-10-25,Satanta,0.661,0.584,0.078
2017-10-25,Tribune,0.742,0.712,0.030
2017-10-25,Viola,0.605,0.664,-0.059
2017-10-26,Ashland Bottoms,0.733,0.708,0.025
2017-10-26,Colby,0.862,0.816,0.046
2017-10-26,Garden City,0.652,0.727,-0.075
2017-10-26,Gypsum,0.503,0.721,-0.218
2017-10-26,Hays,0.374,0.493,-0.120
2017-10-26,Lake City,0.228,0.289,-0.061
2017-10-26,Lakin,0.767,0.775,-0.007
2017-10-26,Lane,0.656,0.603,0.053
2017-10-26,Lorraine,0.746,0.699,0.047
2017-10-26,Manhattan,0.688,0.581,0.107
2017-10-26,McPherson 1S,0.565,0.474,0.091
2017-10-26,Ottawa 2SE,0.864,0.900,-0.036
2017-10-26,Overbrook,0.743,0.907,-0.164
2017-10-26,Parsons,0.840,0.901,-0.060
2017-10-26,Richfield,0.751,0.723,0.028
2017-10-26,Satanta,0.666,0.580,0.086
2017-10-26,Tribune,0.737,0.707,0.030
2017-10-26,Viola,0.598,0.649,-0.051
2017-10-27,Ashland Bottoms,0.718,0.697,0.020
2017-10-27,Colby,0.849,0.811,0.038
2017-10-27,Garden City,0.643,0.720,-0.077
2017-10-27,Gypsum,0.487,0.707,-0.220
